976,1.7669,1.7131
800,0.0027,0
800.2,0.0027,0
800.4,0.0028,0
800.6,0.0028,0
800.8,0.0028,0
801,0.0029,0
801.2,0.0029,0
801.4,0.0029,0
801.6,0.0029,0
801.8,0.003,0
802,0.003,0
802.2,0.0031,0
802.4,0.0031,0
802.6,0.0031,0
802.8,0.0032,0
803,0.0032,0
803.2,0.0032,0
803.4,0.0033,0
803.6,0.0033,0
803.8,0.0034,0
804,0.0034,0
804.2,0.0034,0
804.4,0.0035,0
804.6,0.0035,0
804.8,0.0036,0
805,0.0036,0
805.2,0.0037,0
805.4,0.0037,0
805.6,0.0038,0
805.8,0.0038,0
806,0.0038,0
806.2,0.0039,0
806.4,0.0039,0
806.6,0.004,0
806.8,0.004,0
807,0.0041,0
807.2,0.0041,0
807.4,0.0042,0
807.6,0.0042,0
807.8,0.0042,0
808,0.0043,0
808.2,0.0043,0
808.4,0.0044,0
808.6,0.0044,0
808.8,0.0045,0
809,0.0045,0
809.2,0.0046,0
809.4,0.0046,0
809.6,0.0047,0
809.8,0.0047,0
810,0.0048,0
810.2,0.0048,0
810.4,0.0049,0
810.6,0.0049,0
810.8,0.005,0
811,0.005,0
811.2,0.0051,0
811.4,0.0051,0
811.6,0.0052,0
811.8,0.0052,0
812,0.0053,0
812.2,0.0053,0
812.4,0.0054,0
812.6,0.0054,0
812.8,0.0055,0
813,0.0055,0
813.2,0.0056,0
813.4,0.0056,0
813.6,0.0057,0
813.8,0.0057,0
814,0.0058,0
814.2,0.0059,0
814.4,0.0059,0
814.6,0.006,0
814.8,0.006,0
815,0.0061,0
815.2,0.0061,0
815.4,0.0062,0
815.6,0.0063,0
815.8,0.0064,0
816,0.0064,0
816.2,0.0065,0
816.4,0.0065,0
816.6,0.0066,0
816.8,0.0067,0
817,0.0067,0
817.2,0.0068,0
817.4,0.0069,0
817.6,0.0069,0
817.8,0.007,0
818,0.007,0
818.2,0.0071,0
818.4,0.0071,0
818.6,0.0072,0
818.8,0.0073,0
819,0.0073,0
819.2,0.0074,0
819.4,0.0075,0
819.6,0.0075,0
819.8,0.0076,0
820,0.0076,0
820.2,0.0076,0
820.4,0.0079,0
820.6,0.0079,0
820.8,0.0079,0
821,0.0079,0
821.2,0.0079,0
821.4,0.0081,0
821.6,0.0081,0
821.8,0.0081,0
822,0.0084,0
822.2,0.0084,0
822.4,0.0084,0
822.6,0.0084,0
822.8,0.0084,0
823,0.0087,0
823.2,0.0087,0
823.4,0.0087,0
823.6,0.0087,0
823.8,0.009,0
824,0.009,0
824.2,0.009,0
824.4,0.009,0
824.6,0.0093,0
824.8,0.009,0
825,0.0093,0
825.2,0.0093,0
825.4,0.0093,0
825.6,0.0096,0
825.8,0.0096,0
826,0.0096,0
826.2,0.0096,0
826.4,0.0096,0
826.6,0.0099,0
826.8,0.0099,0
827,0.0099,0
827.2,0.0099,0
827.4,0.0102,0
827.6,0.0102,0
827.8,0.0102,0
828,0.0105,0
828.2,0.0102,0
828.4,0.0105,0
828.6,0.0105,0
828.8,0.0105,0
829,0.0105,0
829.2,0.0108,0
829.4,0.0108,0
829.6,0.0108,0
829.8,0.0111,0
830,0.0111,0
830.2,0.0111,0
830.4,0.0111,0
830.6,0.0111,0
830.8,0.0113,0
831,0.0113,0
831.2,0.0116,0
831.4,0.0116,0
831.6,0.0116,0
831.8,0.0116,0
832,0.0116,0
832.2,0.0116,0
832.4,0.0119,0
832.6,0.0119,0
832.8,0.0119,0
833,0.0122,0
833.2,0.0122,0
833.4,0.0122,0
833.6,0.0122,0
833.8,0.0125,0
834,0.0125,0
834.2,0.0125,0
834.4,0.0128,0
834.6,0.0128,0
834.8,0.0128,0
835,0.0131,0
835.2,0.0131,0
835.4,0.0131,0
835.6,0.0134,0
835.8,0.0134,0
836,0.0134,0
836.2,0.0137,0
836.4,0.0137,0
836.6,0.0137,0
836.8,0.014,0
837,0.014,0
837.2,0.0143,0
837.4,0.0143,0
837.6,0.0143,0
837.8,0.0145,0
838,0.0145,0
838.2,0.0148,0
838.4,0.0148,0
838.6,0.0148,0
838.8,0.0151,0
839,0.0151,0
839.2,0.0154,0
839.4,0.0154,0
839.6,0.0157,0
839.8,0.0157,0
840,0.016,0
840.2,0.016,0
840.4,0.016,0
840.6,0.0163,0
840.8,0.0163,0
841,0.0166,0
841.2,0.0166,0
841.4,0.0169,0
841.6,0.0172,0
841.8,0.0172,0
842,0.0172,0
842.2,0.0174,0
842.4,0.0177,0
842.6,0.0177,0
842.8,0.018,0
843,0.018,0
843.2,0.0183,0
843.4,0.0186,0
843.6,0.0189,0
843.8,0.0189,0
844,0.0189,0
844.2,0.0192,0
844.4,0.0195,0
844.6,0.0195,0
844.8,0.0198,0
845,0.0201,0
845.2,0.0204,0
845.4,0.0204,0
845.6,0.0206,0
845.8,0.0209,0
846,0.0209,0
846.2,0.0212,0
846.4,0.0215,0
846.6,0.0218,0
846.8,0.0221,0
847,0.0221,0
847.2,0.0224,0
847.4,0.0227,0
847.6,0.023,0
847.8,0.0233,0
848,0.0236,0
848.2,0.0238,0
848.4,0.0238,0
848.6,0.0241,0
848.8,0.0244,0
849,0.0247,0
849.2,0.025,0
849.4,0.0253,0
849.6,0.0256,0
849.8,0.0259,0
850,0.0265,0
850.2,0.0265,0
850.4,0.027,0
850.6,0.0273,0
850.8,0.0276,0
851,0.0279,0
851.2,0.0279,0
851.4,0.0285,0
851.6,0.0288,0
851.8,0.0291,0
852,0.0297,0
852.2,0.03,0
852.4,0.0302,0
852.6,0.0305,0
852.8,0.0311,0
