980,1.55,0
1501,1.79,0.851
1502,1.8,0.876
1503,1.81,0.901
1504,1.82,0.926
1505,1.83,0.955
1506,1.85,0.987
1507,1.87,1.02
1508,1.89,1.05
1509,1.91,1.09
1510,1.94,1.13
1511,1.97,1.18
1512,2,1.23
1513,2.04,1.28
1514,2.08,1.33
1515,2.13,1.4
1516,2.18,1.46
1517,2.25,1.54
1518,2.32,1.63
1519,2.41,1.74
1520,2.51,1.88
1521,2.64,2.02
1522,2.78,2.17
1523,2.94,2.35
1524,3.1,2.53
1525,3.26,2.72
1526,3.39,2.89
1527,3.49,3.03
1528,3.55,3.14
1529,3.57,3.21
1530,3.54,3.24
1531,3.47,3.23
1532,3.35,3.18
1533,3.2,3.09
1534,3.01,2.97
1535,2.8,2.83
1536,2.6,2.69
1537,2.44,2.58
1538,2.32,2.5
1539,2.23,2.46
1540,2.17,2.44
1541,2.13,2.44
1542,2.08,2.44
1543,2.04,2.44
1544,1.99,2.43
1545,1.94,2.41
1546,1.88,2.39
1547,1.82,2.37
1548,1.77,2.35
1549,1.71,2.32
1550,1.66,2.3
1551,1.62,2.29
1552,1.57,2.27
1553,1.53,2.26
1554,1.5,2.25
1555,1.46,2.24
1556,1.42,2.23
1557,1.38,2.21
1558,1.34,2.19
1559,1.29,2.16
1560,1.24,2.12
1561,1.19,2.08
1562,1.14,2.03
1563,1.08,1.97
1564,1.03,1.91
1565,0.97,1.84
1566,0.914,1.77
1567,0.859,1.7
1568,0.806,1.63
1569,0.755,1.56
1570,0.706,1.48
1571,0.66,1.41
1572,0.616,1.34
1573,0.576,1.27
1574,0.539,1.22
1575,0.505,1.17
1576,0.475,1.11
1577,0.447,1.07
1578,0.422,1.03
1579,0.399,0.994
1580,0.379,0.962
1581,0.36,0.936
1582,0.344,0.909
1583,0.329,0.885
1584,0.315,0.869
1585,0.303,0.85
1586,0.291,0.83
1587,0.28,0.819
1588,0.27,0.807
1589,0.26,0.789
1590,0.251,0.777
1591,0.243,0.77
1592,0.234,0.755
1593,0.226,0.741
1594,0.219,0.733
1595,0.211,0.723
1596,0.204,0.709
1597,0.197,0.699
1598,0.19,0.69
1599,0.184,0.675
1600,0.177,0.664
